,Unnamed: 0_x,track_id,artists,album_name,track_name,popularity,duration_ms,explicit_x,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature,track_genre,Unnamed: 0_y,album_id,youtube_id,duration,explicit_y,preview,key_y,mode_y,acousticness_y,danceability_y,energy_y,instrumentalness_y,liveness_y,loudness_y,speechiness_y,valence_y,tempo_y,Album Rating
76,6498,6y3i6BjgqHNigDSkRsBRsb,Darkthrone,The Underground Resistance,The Ones You Left Behind,18,256252,False,0.244,0.985,0,-3.545,1,0.0978,8.51e-06,0.253,0.102,0.195,71.249,4,black-metal,10780,2GbdKYnwbDn7KV37EcVQN1,3Ckbk-P7JxM,256252.0,0.0,https://p.scdn.co/mp3-preview/238ac65bc0d9a97546dba10c0b70c49c0b556899?cid=511f219d36aa49ae99789b1efd2c51c8,0.0,1.0,8.51e-06,0.244,0.985,0.253,0.102,-3.545,0.0978,0.195,71.249,18.0
77,6538,0zbuphwpwDnFCTDO3Up3zj,Wolves In The Throne Room,Celestial Lineage,Prayer of Transformation,18,657733,False,0.0938,0.389,2,-10.403,1,0.0426,0.0321,0.836,0.131,0.154,89.264,1,black-metal,2308,3LHSxySCaooKrQxuLtuYSV,axVo2kNjKXc,657733.0,0.0,https://p.scdn.co/mp3-preview/161219cd93a8fa96e384136e8093801b836b6a58?cid=511f219d36aa49ae99789b1efd2c51c8,2.0,1.0,0.0321,0.0938,0.389,0.836,0.131,-10.403,0.0426,0.154,89.264,18.7
78,6549,5uSq44B4BVNOG5FklL98lc,Wolves In The Throne Room,Celestial Lineage,Woodland Cathedral,18,326306,False,0.0629,0.404,5,-10.396,1,0.0362,0.21,0.0,0.0873,0.037,67.305,5,black-metal,2306,3LHSxySCaooKrQxuLtuYSV,axVo2kNjKXc,326306.0,0.0,https://p.scdn.co/mp3-preview/621483dada2c36138478ee0cb716ac7830c4bcc1?cid=511f219d36aa49ae99789b1efd2c51c8,5.0,1.0,0.21,0.0629,0.404,0.0,0.0873,-10.396,0.0362,0.037,67.305,18.7
79,6568,3cXSZnTbHig0sntFrDqE0f,Leviathan,Scar Sighted,Wicked Fields of Calm,17,345742,False,0.258,0.974,4,-7.602,1,0.0637,0.00471,0.993,0.194,0.148,155.944,4,black-metal,15661,4hnlvhL0RR3AH2YOVChSsh,JKM79q5lKVM,345742.0,0.0,https://p.scdn.co/mp3-preview/8421894f4edb52024e6c5e9ff0afb46567bbd8bd?cid=511f219d36aa49ae99789b1efd2c51c8,4.0,1.0,0.00471,0.258,0.974,0.993,0.194,-7.602,0.0637,0.148,155.944,17.5
80,6592,7MpfjLn02ygBsL4N5z6aY7,Darkthrone,Circle The Wagons,I Am The Working Class,18,308853,False,0.153,0.975,9,-3.764,1,0.12,0.0019,0.00154,0.309,0.0673,142.446,4,black-metal,976,0M43d6s6l1b5x6SALQSrP0,JsQHABGsCUQ,308853.0,0.0,https://p.scdn.co/mp3-preview/6351f462c40780af6fd85bddc8d30a647edefdbb?cid=511f219d36aa49ae99789b1efd2c51c8,9.0,1.0,0.0019,0.153,0.975,0.00154,0.309,-3.764,0.12,0.0673,142.446,19.5
81,6616,1LvRXEnBDojSXeU78M9iAt,Wolves In The Throne Room,Celestite,Celestite Mirror,17,872398,False,0.0668,0.4,9,-12.792,0,0.0367,0.14,0.929,0.126,0.0381,74.465,4,black-metal,14033,3CZ1efJZ8G1hDBETkFuoxw,vekiCfWRstU,872398.0,0.0,https://p.scdn.co/mp3-preview/a88812e7d0e53ddd648227f697c8a6ba03345d9c?cid=511f219d36aa49ae99789b1efd2c51c8,9.0,0.0,0.14,0.0668,0.4,0.929,0.126,-12.792,0.0367,0.0381,74.465,16.5
82,6692,11SMSHxTMXx5y1IJQ4Lj79,Kvelertak,Nattesferd,Bronsegud,18,177506,False,0.217,0.975,4,-5.444,0,0.103,6.11e-06,0.384,0.371,0.39,185.284,4,black-metal,18676,5EAGz1IagdeJoJ2Cgb4DES,kgTq2cC2kUM,177506.0,0.0,https://p.scdn.co/mp3-preview/169fea8e0d1f5c16f57c3f8ffbb55176454b3af3?cid=511f219d36aa49ae99789b1efd2c51c8,4.0,0.0,6.11e-06,0.217,0.975,0.384,0.371,-5.444,0.103,0.39,185.284,19.8
83,6694,0y5Rpnq7cT4FA4sbPLMkWo,Kvelertak,Meir,Undertro,18,385853,False,0.469,0.956,9,-5.665,1,0.104,4.3e-05,0.842,0.329,0.175,139.975,4,black-metal,11303,5PAjZGAD8j0XZANLxJWulb,6KelOf9JfaY,385853.0,0.0,https://p.scdn.co/mp3-preview/a2031b0723a32754232df4c1fd8dcd9d30976d1b?cid=511f219d36aa49ae99789b1efd2c51c8,9.0,1.0,4.3e-05,0.469,0.956,0.842,0.329,-5.665,0.104,0.175,139.975,19.0
84,6735,6tGaJvoc1MnwnPxogAkgZI,Kvelertak,Meir,Nekrokosmos,18,400960,False,0.174,0.955,9,-5.002,1,0.148,3.08e-05,0.887,0.342,0.0722,157.361,4,black-metal,11302,5PAjZGAD8j0XZANLxJWulb,6KelOf9JfaY,400960.0,0.0,https://p.scdn.co/mp3-preview/17fa49ee115a70b32f1f595990a5a814647b1601?cid=511f219d36aa49ae99789b1efd2c51c8,9.0,1.0,3.08e-05,0.174,0.955,0.887,0.342,-5.002,0.148,0.0722,157.361,19.0
85,6824,7AIP5Lqy500r7pYtdCpphh,Wolves In The Throne Room,Celestite,Sleeping Golden Storm,16,541928,False,0.104,0.345,9,-14.844,0,0.0385,0.813,0.922,0.154,0.0379,91.211,4,black-metal,14034,3CZ1efJZ8G1hDBETkFuoxw,vekiCfWRstU,541928.0,0.0,https://p.scdn.co/mp3-preview/0f8d24e796a9eeb641bbdd1815221b5f28b17a93?cid=511f219d36aa49ae99789b1efd2c51c8,9.0,0.0,0.813,0.104,0.345,0.922,0.154,-14.844,0.0385,0.0379,91.211,16.5
86,6832,7KUY10mUbRZuXOlogTckjN,Toxic Holocaust,Chemistry of Consciousness,I Serve...,19,150520,False,0.135,0.988,9,-4.885,0,0.163,1.68e-06,0.163,0.125,0.202,94.429,4,black-metal,11314,0jwJZDxGMm3SSm6LULhxgv,PxeVDCXOoos,150520.0,0.0,https://p.scdn.co/mp3-preview/bd226da68c7f5c507caf3d9ff9e610c3ffff1e36?cid=511f219d36aa49ae99789b1efd2c51c8,9.0,0.0,1.68e-06,0.135,0.988,0.163,0.125,-4.885,0.163,0.202,94.429,21.0
87,6947,20k6wvqnsp9pyv4FaTf94h,Kvelertak,Kvelertak,Fossegrim - BBC Sessions 2010,18,203057,True,0.269,0.922,7,-3.872,1,0.0773,2.14e-05,0.0134,0.0765,0.368,159.878,4,black-metal,6428,5xWx2DMLGYJrbz77k6lxnh,kp-3jPaY7yU,203057.0,1.0,https://p.scdn.co/mp3-preview/db24ad9bc4a2dccfc5d6cb0fb29e6fe0a58a6d9c?cid=511f219d36aa49ae99789b1efd2c51c8,7.0,1.0,2.14e-05,0.269,0.922,0.0134,0.0765,-3.872,0.0773,0.368,159.878,22.7
88,6998,58Tlvz5XeWM3SZUYZcKCNt,Kvelertak,Nattesferd,Ondskapens Galakse,17,333506,False,0.363,0.854,2,-7.445,1,0.0397,8.93e-05,0.8,0.262,0.489,116.628,4,black-metal,18677,5EAGz1IagdeJoJ2Cgb4DES,kgTq2cC2kUM,333506.0,0.0,https://p.scdn.co/mp3-preview/8e2c5c90b1ce1e6c549ad193e862e1e80279cb8f?cid=511f219d36aa49ae99789b1efd2c51c8,2.0,1.0,8.93e-05,0.363,0.854,0.8,0.262,-7.445,0.0397,0.489,116.628,19.8
89,8001,2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,Melophobia,Cigarette Daydreams,79,208760,False,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,4,blues,9417,4EK8gtQfdVsmDTji7gBFlz,Od7fLNhEecM,208760.0,0.0,https://p.scdn.co/mp3-preview/b27a6307585a54b232d1156b0814166c1519cd22?cid=511f219d36aa49ae99789b1efd2c51c8,2.0,1.0,0.0807,0.636,0.676,0.0,0.0831,-3.442,0.0263,0.273,113.98,70.2
90,8151,4sebUbjqbcgDSwG6PbSGI0,Cage The Elephant,Melophobia,Come a Little Closer,74,229346,False,0.44,0.778,1,-1.786,0,0.0327,0.0265,1.04e-06,0.151,0.304,148.038,4,blues,9409,4EK8gtQfdVsmDTji7gBFlz,Od7fLNhEecM,229346.0,0.0,https://p.scdn.co/mp3-preview/399ec9588bc0c65b5afab8f0b3c7e40e24164fe7?cid=511f219d36aa49ae99789b1efd2c51c8,1.0,0.0,0.0265,0.44,0.778,1.04e-06,0.151,-1.786,0.0327,0.304,148.038,70.2
91,8253,5n0CTysih20NYdT2S0Wpe8,Cage The Elephant,Tell Me I'm Pretty,Trouble,72,225973,False,0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,4,blues,17738,0nW0w37lrQ87k7PLZvC4qJ,-mQ5Rj2pyKM,225973.0,0.0,https://p.scdn.co/mp3-preview/0c51113ea9aa1d7febc6a68fd4f882a3a0e3e41d?cid=511f219d36aa49ae99789b1efd2c51c8,0.0,1.0,0.392,0.47,0.623,0.000439,0.0992,-5.655,0.0302,0.298,77.861,63.5
92,8305,1Q3t9fWvHUXKsMmpD2XpUu,Cage The Elephant,Tell Me I'm Pretty,Cold Cold Cold,69,214386,False,0.549,0.789,5,-6.071,1,0.0313,0.0178,6.7e-05,0.059,0.715,136.125,4,blues,17737,0nW0w37lrQ87k7PLZvC4qJ,-mQ5Rj2pyKM,214386.0,0.0,https://p.scdn.co/mp3-preview/708ec2cfc2cae7ed7b3229d95bc47a0791243cdd?cid=511f219d36aa49ae99789b1efd2c51c8,5.0,1.0,0.0178,0.549,0.789,6.7e-05,0.059,-6.071,0.0313,0.715,136.125,63.5
93,8352,0tkBOcK7oRVXQJY97zzSvr,Cage The Elephant,Melophobia,Telescope,65,228293,False,0.589,0.481,0,-4.801,1,0.0285,0.273,1.33e-05,0.0986,0.176,93.568,4,blues,9410,4EK8gtQfdVsmDTji7gBFlz,Od7fLNhEecM,228293.0,0.0,https://p.scdn.co/mp3-preview/82a53c2a4ada7fcc5906d408186064499e390961?cid=511f219d36aa49ae99789b1efd2c51c8,0.0,1.0,0.273,0.589,0.481,1.33e-05,0.0986,-4.801,0.0285,0.176,93.568,70.2
94,8358,5G1sTBGbZT5o4PNRc75RKI,The Black Keys,El Camino,Lonely Boy,73,193653,False,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3,4,blues,2320,5DLhV9yOvZ7IxVmljMXtNm,Q5d9O8CPh7w,193653.0,0.0,https://p.scdn.co/mp3-preview/2ad81dc04cb1e29388f918bbf948b5f812632131?cid=511f219d36aa49ae99789b1efd2c51c8,2.0,1.0,0.00417,0.356,0.872,0.00975,0.0997,-7.837,0.068,0.607,166.3,69.7
95,8509,3xMQOd1C3TXsjQ3pmzOmkC,The Black Keys,Turn Blue,Weight of Love,61,410186,False,0.282,0.547,2,-8.621,1,0.0322,0.03,0.888,0.104,0.133,151.468,4,blues,13331,6TvxpBzf9c8H1fsrAaQ8t3,CklabgHYnGA,410186.0,0.0,https://p.scdn.co/mp3-preview/cb45f92e7302225ec2dfbbef03199132321ef140?cid=511f219d36aa49ae99789b1efd2c51c8,2.0,1.0,0.03,0.282,0.547,0.888,0.104,-8.621,0.0322,0.133,151.468,61.5
96,8510,4dpEYOPcmHNfvERbiajp3G,Cage The Elephant,Tell Me I'm Pretty,Sweetie Little Jean,63,224893,False,0.524,0.532,6,-6.07,0,0.026,0.0285,7.86e-05,0.242,0.367,135.678,4,blues,17735,0nW0w37lrQ87k7PLZvC4qJ,-mQ5Rj2pyKM,224893.0,0.0,https://p.scdn.co/mp3-preview/56ca0190ce4cb3d366d40c8ce6ff66539f44aedb?cid=511f219d36aa49ae99789b1efd2c51c8,6.0,0.0,0.0285,0.524,0.532,7.86e-05,0.242,-6.07,0.026,0.367,135.678,63.5
97,8519,1PXsUXSM3LF2XNSkmIldPb,The Black Keys,El Camino,Little Black Submarines,66,251266,False,0.365,0.466,2,-7.514,1,0.0418,0.161,6.68e-06,0.106,0.487,95.163,4,blues,2323,5DLhV9yOvZ7IxVmljMXtNm,Q5d9O8CPh7w,251266.0,0.0,https://p.scdn.co/mp3-preview/c0c5fabe922b39165cbd90f83d773d62304f6c2c?cid=511f219d36aa49ae99789b1efd2c51c8,2.0,1.0,0.161,0.365,0.466,6.68e-06,0.106,-7.514,0.0418,0.487,95.163,69.7
98,8521,5lN1EH25gdiqT1SFALMAq1,The Black Keys,El Camino,Gold on the Ceiling,70,224333,False,0.505,0.833,0,-4.632,1,0.0475,0.00772,7.9e-05,0.069,0.565,130.121,4,blues,2322,5DLhV9yOvZ7IxVmljMXtNm,Q5d9O8CPh7w,224333.0,0.0,https://p.scdn.co/mp3-preview/867999249f1bdc5c2b7ddac71db492aacd6555a0?cid=511f219d36aa49ae99789b1efd2c51c8,0.0,1.0,0.00772,0.505,0.833,7.9e-05,0.069,-4.632,0.0475,0.565,130.121,69.7
99,8610,48sc7vBJeNoCEQhxO3zYKA,Cage The Elephant,Tell Me I'm Pretty,Too Late To Say Goodbye,60,252786,False,0.482,0.55,4,-7.098,0,0.0356,0.135,0.0,0.294,0.105,67.559,4,blues,17736,0nW0w37lrQ87k7PLZvC4qJ,-mQ5Rj2pyKM,252786.0,0.0,https://p.scdn.co/mp3-preview/603445e7c8ecf11910baae27dfcef38f7d39cfd0?cid=511f219d36aa49ae99789b1efd2c51c8,4.0,0.0,0.135,0.482,0.55,0.0,0.294,-7.098,0.0356,0.105,67.559,63.5
