artists,album_name,duration_ms,danceability_x,energy_x,mode_x,acousticness_x,valence_x,tempo_x,time_signature,track_genre,album_id,duration,Album Rating,rating
Miami Horror,Illumination,253728,0.58,0.86,0,0.0176,0.43,124.992,4,disco,37oEeZfUpmbYlJnORF36Zk,253728.0,59.0,7.0
Porter Robinson,Worlds,328506,0.444,0.35,1,0.453,0.0973,95.979,3,dub,7AJPV0L05IyIBid97AvwVD,328506.0,50.5,5.0
Porter Robinson,Nurture,309985,0.568,0.564,1,0.0105,0.385,115.059,4,dub,4Hjqdhj5rh816i1dfcUEaM,309985.0,50.8,8.0
Eliminate;Leah Culver,Crystallize,212800,0.73,0.655,1,0.165,0.316,149.999,4,dub,1UNZ0fFbN1JHhbjJRRuhAn,212800.0,46.0,8.0
Eliminate;Leah Culver,Crystallize,212800,0.73,0.655,1,0.165,0.316,149.999,4,dub,1UNZ0fFbN1JHhbjJRRuhAn,212800.0,46.0,8.0
Eliminate;Leah Culver,Crystallize,212800,0.73,0.655,1,0.165,0.316,149.999,4,dub,1UNZ0fFbN1JHhbjJRRuhAn,212800.0,46.0,8.0
Mac DeMarco,Salad Days,231723,0.538,0.557,1,0.262,0.506,131.03,4,edm,2sij95QgjmgrhNv33achzn,231723.0,82.0,5.0
Mac DeMarco,2,190845,0.501,0.765,0,0.00294,0.46,91.771,4,edm,2XgBQwGRxr4P7cHLDYiqrO,190845.0,81.0,2.0
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",194087,0.701,0.425,1,0.328,0.562,135.128,4,electro,0S0KGZnfBGSIssfF54WSJh,194087.0,78.0,8.0
Daft Punk;Julian Casablancas,Random Access Memories,337560,0.775,0.585,0,0.0422,0.518,109.942,4,electro,4m2880jivSbbyEGAKfITCa,337560.0,75.5,8.0
Billie Eilish,Happier Than Ever,173539,0.879,0.365,1,0.227,0.663,94.016,4,electro,0JGOiO34nwfUdDrD612dOp,173539.0,76.1,7.0
Ashnikko,DEMIDEVIL,146523,0.834,0.663,1,0.235,0.774,121.876,4,electro,438ToDoVaJH5aTIXXrlDyI,146523.0,72.0,6.0
Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),204763,0.62,0.805,1,0.00564,0.586,122.062,4,electro,2oj3FG6fos7zAQJxLQGzou,204763.0,70.0,7.0
James Blake;SZA,Friends That Break Your Heart,195905,0.653,0.496,0,0.625,0.102,86.013,4,electronic,1zNtJFMCNIyT0X19jpcI3j,195905.0,65.0,8.0
